-aĵo                                                                                      chose (concrète), difficulté, gravure
eposo                                                                                     poésie narrative
erao                                                                                      ère
erara                                                                                     abusif, erroné, incorrect, inexact
erare                                                                                     abusivement, par erreur
erarema                                                                                   faillible
erari                                                                                     égarer (s'~), méprendre (se), tromper (se ~)
erariga                                                                                   trompeur
erarigi                                                                                   tromper (induire en erreur)
erarinta                                                                                  prodigue
erarkonfesi                                                                               rétracter (se)
eraro                                                                                     erreur, faute, lapsus, méprise
erco                                                                                      minerai
erekti                                                                                    érecter
erektiĝo                                                                                  érection
ereto                                                                                     miette
ergologio                                                                                 ergologie
ergometro                                                                                 ergomètre
ergoto                                                                                    ergot
erikejo                                                                                   lande
eriko                                                                                     bruyère
erinaco                                                                                   hérisson
ermeno                                                                                    hermine
ermitejo                                                                                  ermitage
ermito                                                                                    ermite, solitaire (subst.)
ero                                                                                       fragment, morceau, parcelle
erodi                                                                                     roder, rôder une voiture, user (géol.)
erodio                                                                                    érosion
erotika                                                                                   érotique
erotike                                                                                   érotiquement
erotiko                                                                                   érotique
erozii                                                                                    ronger
erozio                                                                                    érosion
erpi                                                                                      herser
erpilo                                                                                    herse
erudicio                                                                                  érudition
erudiciulo                                                                                érudit
erudito                                                                                   érudit
erupcii                                                                                   être en éruption
erupcio                                                                                   éruption
erupto                                                                                    éruption
esameni                                                                                   essaimer
esameno                                                                                   essaim
escepta                                                                                   exceptionnel
esceptado                                                                                 exception
escepte                                                                                   mis à part, sauf
escepti                                                                                   dispenser, excepter
escepto                                                                                   dérogation, exception
esenca                                                                                    essentiel (adj.)
esence                                                                                    essentiellement
esenco                                                                                    essence (phil), fond
esencĵo                                                                                   essentiel (subst.)
eseo                                                                                      essai (litt.)
eskadro                                                                                   escadre
eskadronestro                                                                             chef d'escadron
eskadrono                                                                                 escadron
eskaladi                                                                                  escalader
eskalado                                                                                  escalade
eskalatoro                                                                                escalator
eskaldo                                                                                   échelle
eskalo                                                                                    échelle
eskalopo                                                                                  escalope
eskapado                                                                                  escapade
eskapi                                                                                    cesser d'appartenir, échapper, échapper (s'~)
eskapo                                                                                    fugue
eskimo                                                                                    esquimau
eskorti                                                                                   accompagner, escorter
eskorto                                                                                   escorte
eskudo                                                                                    escudo
eskusi                                                                                    excuser
eskuzebla                                                                                 excusable, supportable
eskviro                                                                                   écuyer
esotera                                                                                   ésotérique
espanjoleto                                                                               espagnolette
esperante                                                                                 en espérant, en espéranto
esperantismo                                                                              espérantisme
esperantisto                                                                              espérantiste
esperanto                                                                                 Espéranto
esperdona                                                                                 prometteur
esperdoni                                                                                 encourager
esperi                                                                                    espérer, souhaiter
esperiga                                                                                  prometteur
esperigi                                                                                  promettre
espero                                                                                    espérance, espoir
esperplena                                                                                plein d'espoir
espertizisto                                                                              expert professionnel
esplanado                                                                                 esplanade
esplorado                                                                                 exploration, investigation, recherche (activité)
esploremo                                                                                 curiosité
esplori                                                                                   étudier, examiner, explorer, instruire(une affaire), reconnaître(explorer), sonder
esplori[3]                                                                                fouiller, prospecter, rechercher(pour connaître)
esploristo                                                                                explorateur
esplorjuĝisto                                                                             juge d'instruction
esploro                                                                                   étude, recherche(sciences), reconnaissance (vérificat.)
esplorrigardi                                                                             reconnaître (explorer)
esplortuŝi                                                                                tâter (toucher)
esplorvojaĝo                                                                              expédition (explorateur)
esprimi                                                                                   émettre, exprimer, présenter, représenter (exprimer), représenter(arts), traduire(figuré)
esprimkapablo                                                                             capacité d'expression
esprimlibero                                                                              liberté d'expression
esprimo                                                                                   expression, expression mathématique, locution, manifestation, terme(mot), tournure(de phrase)
esprimpleneco                                                                             expressivité
esprimpovo                                                                                pouvoir d'expression
establaĵo                                                                                 entreprise
establi                                                                                   établir (créer), implanter, installer, instituer, ouvrir (inaugurer)
establigi                                                                                 poser (principe)
establo                                                                                   entreprise, établissement, organisme
estas                                                                                     il y a
estaĵo                                                                                    créature
estetika                                                                                  esthétique(adj.)
estetiko                                                                                  esthétique(subst.)
esti                                                                                      être, figurer parmi, résider, trouver (se)
estiga                                                                                    incitatif
estigi                                                                                    causer(être cause de), naître(faire ~), susciter
estigo                                                                                    création
estimata                                                                                  estimé (adj.)
estimi                                                                                    apprécier (estimer), estimer (avoir de l'estime)
estiminda                                                                                 inappréciable
estimo                                                                                    estime
estingado                                                                                 extinction
estingaparato                                                                             extincteur
estingi                                                                                   éteindre, étouffer
estingilo                                                                                 extincteur
estingiĝi                                                                                 évanouir (s'~) (disparaître)
estingo                                                                                   extinction
estinta                                                                                   passé (adjectif)
estinteco                                                                                 passé (cont.de l'avenir), passé (grammaire)
estona                                                                                    estonien
estonino                                                                                  Estonienne
estono                                                                                    Estonien
estonta                                                                                   futur, future, venir (à~)
estonte                                                                                   dans l'avenir
estonteco                                                                                 avenir, futur
estonto                                                                                   avenir, destin, futur
estrado                                                                                   estrade, tenue (manière de gérer)
estrarejo                                                                                 quartier général
estraro                                                                                   bureau(comité), commandement, direction
estri                                                                                     commander, diriger(dirigeant), posséder(un savoir), régir
estro                                                                                     chef, dirigeant
estuaro                                                                                   estuaire
eta                                                                                       petit
etalono                                                                                   étalon
etano                                                                                     éthane
etanolo                                                                                   éthanol
etapo                                                                                     étape
etato                                                                                     état (document), liste, relevé (scientif.)
etaĝero                                                                                   étagère
etaĝo                                                                                     étage
etburĝa                                                                                   petit-bourgeois
etendado                                                                                  extension
etendebla                                                                                 expansible
etendi                                                                                    enduire, étaler, étendre
etendita                                                                                  étendu (adj.)
etendiĝi                                                                                  étendre(s'~)
eterna                                                                                    éternel
eterne                                                                                    éternellement
eterneco                                                                                  éternité
eternigi                                                                                  éterniser
eteta                                                                                     minuscule
etfingro                                                                                  auriculaire
etformate                                                                                 en réduction
etigi                                                                                     rapetisser
etika                                                                                     éthique(adj.)
etikedi                                                                                   étiqueter
etikedo                                                                                   étiquette(fiche), fiche (de fichier)
etiketo                                                                                   étiquette (protocole), protocole
etiko                                                                                     éthique (subst.)
etilalkoholo                                                                              alcool éthylique
etileno                                                                                   éthylène
etimologia                                                                                étymologique
etimologio                                                                                étymologie
etiopa                                                                                    éthiopien
etiopino                                                                                  éthiopienne
etiopo                                                                                    Éthiopien
etkvante                                                                                  en petite quantité
etna                                                                                      ethnique
etno                                                                                      ethnie
etnografia                                                                                ethnographie
etnografio                                                                                ethnographe
etnologio                                                                                 ethnologie
etnologo                                                                                  ethnologue
etoso                                                                                     ambiance, atmosphère
etpeza                                                                                    léger
etruska                                                                                   étrusque
etrusko                                                                                   Étrusque
etskala                                                                                   réduit
etskale                                                                                   en réduction
etspirita                                                                                 mesquin
etspiriteco                                                                               mesquinerie
etudo                                                                                     étude (art.)
etulo                                                                                     bambin
etuvo                                                                                     étuve
evakuado                                                                                  évacuation
evakui                                                                                    évacuer
evakuo                                                                                    évacuation
evangelia                                                                                 évangélique
evangeliisto                                                                              évangéliste
evangelio                                                                                 évangile
evangelizi                                                                                évangéliser
evento                                                                                    événement, événement (important)
eventrakonta                                                                              événementiel
eventuala                                                                                 éventuel
eventualaĵo                                                                               éventualité (événement)
eventuale                                                                                 éventuellement
eventualeco                                                                               éventualité (possibilité)
evidenta                                                                                  évident, flagrant, manifeste, patent, tangible
evidente                                                                                  évidemment
evidenteco                                                                                évidence
evidentigi                                                                                manifester, prouver
evikcii                                                                                   évincer
evitado                                                                                   parade
evitebla                                                                                  évitable
eviti                                                                                     abstenir (s'~), éluder, éviter, parer(un coup)
evitigi                                                                                   épargner
evito                                                                                     évitement
evoluado                                                                                  évolution
evolucii                                                                                  évoluer
evolucio                                                                                  évolution
evoluciteorio                                                                             théorie de l'évolution
evoluhelpo                                                                                aide à l'évolution
evolui                                                                                    développer (se), évoluer
evolulando                                                                                pays en évolution
evoluo                                                                                    évolution
evonimo                                                                                   fusain (botanique)
ezofago                                                                                   oesophage
ezoko                                                                                     brochet
eĉ                                                                                        même
eĝo                                                                                       arête (géométrique)
eĥi                                                                                       répercuter, répondre
eĥo                                                                                       écho, répercussion
eŝafodo                                                                                   échafaud
eŝlimigi                                                                                  embourber
eŭdiometro                                                                                eudiomètre
eŭfemismo                                                                                 euphémisme
eŭfonio                                                                                   euphonie
eŭforbio                                                                                  euphorbe
eŭforio                                                                                   euphorie
eŭgeniko                                                                                  eugénique, eugénisme
eŭkalipto                                                                                 eucalyptus
eŭkaristia                                                                                eucharistique
eŭkaristio                                                                                eucharistie
eŭnuko                                                                                    eunuque
eŭropa                                                                                    européen
eŭropano                                                                                  Européen
eŭropigi                                                                                  européaniser
eŭropio                                                                                   europium (chim.)
eŭtanazio                                                                                 euthanasie
fabela                                                                                    fabuleux, fantastique
fabeli                                                                                    affabuler, conter, divaguer
fabellando                                                                                pays de conte
fabelo                                                                                    conte, fable, histoire (conte)
fablisto                                                                                  fabuliste
fablo                                                                                     fable
fabo                                                                                      fève
fabrikado                                                                                 fabrication, usinage
fabrikejo                                                                                 usine
fabriki                                                                                   fabriquer, faire, usiner
fabriklaboristino                                                                         ouvrière de fabrique
fabriklaboristo                                                                           ouvrier de fabrique
fabriklaboro                                                                              travail de fabrication
fabriko                                                                                   fabrique, manufacture, usine
faceti                                                                                    tailler (avec un diamant)
facetisto                                                                                 tailleur (diamant)
faceto                                                                                    facette
facila                                                                                    facile
facilanima                                                                                insouciant
facilanimeco                                                                              insouciance
facile                                                                                    facilement
facileco                                                                                  facilité
facilega                                                                                  enfantin
faciligi                                                                                  alléger, faciliter, favoriser, soulager
faciligo                                                                                  allégement
facilkredema                                                                              crédule
facilmova                                                                                 agile, leste
facilmoveco                                                                               agilité
facilparola                                                                               bavard, loquace, volubile
facilparoleco                                                                             loquacité, volubilité
facilpieda                                                                                alerte
facilriska                                                                                imprudent
facilrompa                                                                                fragile
faciluza                                                                                  facile
faco                                                                                      face, face d'un objet, pan, pan (d'un écrou)
fadenbobeno                                                                               bobine de fil
fadenbulo                                                                                 pelote de fil
fadendrapo                                                                                drap de fil
fadenigi                                                                                  filer
fadenkruco                                                                                réticule
fadenmontra                                                                               râpé
fadeno                                                                                    fil
fado                                                                                      fado
fagaro                                                                                    bois de hêtre
fago                                                                                      hêtre
fagofrukto                                                                                faine
fagonukso                                                                                 faine
fagopiro                                                                                  blé-noir, sarrasin
fagotisto                                                                                 basson, bassoniste
fagoto                                                                                    basson
fajenco                                                                                   faïence
fajfado                                                                                   sifflement
fajfanaso                                                                                 canard siffleur
fajfeti                                                                                   siffloter
fajfi                                                                                     siffler (sifflet)
fajfilego                                                                                 sirène (alarme)
fajfilo                                                                                   sifflet
fajli                                                                                     limer
fajlilo                                                                                   lime
fajna                                                                                     délicat, délié, fin (raffiné), ténu
fajneco                                                                                   délicatesse
fajrejo                                                                                   foyer
fajreltena                                                                                résistant au feu
fajrelĵeta                                                                                étincelant
fajrelĵeti                                                                                étinceler
fajrera                                                                                   étincelant
fajreri                                                                                   étinceler
fajrero                                                                                   étincelle
fajri                                                                                     brûler
fajrilaro                                                                                 combustible
fajrilo                                                                                   briquet
fajrimuna                                                                                 réfractaire (techn.)
fajrinciti                                                                                raviver le feu
fajrkolori                                                                                incendier (sens figuré)
fajro                                                                                     feu, flamme, fougue
fajrobapto                                                                                baptême du feu
fajrobarilo                                                                               coupe-feu
fajrobrigadano                                                                            pompier, sapeur-pompier
fajrobrigadejo                                                                            caserne de pompiers
fajrobrigadisto                                                                           pompier
fajrobrigado                                                                              brigade de pompier
fajrobulo                                                                                 boule de feu
fajroestingilo                                                                            extincteur
fajrokolono                                                                               colonne de feu
fajrokolora                                                                               couleur feu
fajrokrano                                                                                bouche d'incendie
fajromanio                                                                                pyromanie
fajromaniulo                                                                              pyromane
fajromanĝanto                                                                             mangeur de feu
fajropikilo                                                                               tisonnier
fajrorezista                                                                              réfractaire (techn.)
fajroruĝa                                                                                 rouge feu
fajrosignalo                                                                              signal lumineux
fajrosoldato                                                                              pompier, sapeur-pompier
fajrostango                                                                               torche
fajroŝirmilo                                                                              coupe feu (informat.), pare-feu (informat.)
fajroŝovelilo                                                                             pelle à feu
fajroŝtono                                                                                pierre à feu
fajrujo                                                                                   foyer
fakiro                                                                                    fakir
faklaboristo                                                                              travailleur spécialisé
fako                                                                                      branche, casier, division, domaine, partie(métier), rayon(spécialité), spécialité
fako[3]                                                                                   case, rayon(casier), service(administratif)
fako[4]                                                                                   compartiment(spécialité), domaine(spécialité)
fakoĉero                                                                                  phacochère
fakrevuo                                                                                  revue spécialisée
faksi                                                                                     faxer
faksilo                                                                                   fax
faksimilo                                                                                 fac-similé
fakta                                                                                     effectif
fakte                                                                                     en fait
fakterminaro                                                                              vocabulaire technique
faktitolo                                                                                 rubrique
fakto                                                                                     chose faite, fait (subst.)
faktorio                                                                                  comptoir
faktoro                                                                                   facteur, facteur(élément), facteur(math), facteur(philo)
fakturi                                                                                   facturer
fakturo                                                                                   addition (note), facture (com.), note (facture)
fakulo                                                                                    spécialiste
fakultativa                                                                               facultatif
fakultato                                                                                 faculté, faculté (université)
falango                                                                                   phalange
falaranĝi                                                                                 truquer
falbalo                                                                                   garniture, volant (vêtement)
falbrilaĵo                                                                                strass
falbruo                                                                                   bruit de chute
faldaĵo                                                                                   pliure
faldebla                                                                                  pliable
faldfolio                                                                                 feuille pliante
faldi                                                                                     plier
faldita                                                                                   plié
faldo                                                                                     pli (étoffe)
faldojupo                                                                                 jupe à plis
faldokudri                                                                                surfiler
faldoletero                                                                               pli (lettre)
faldotablo                                                                                table pliante
faldotondilo                                                                              ciseaux pliants
faldpordo                                                                                 porte pliante
faldruldomo                                                                               caravane pliante
faldumi                                                                                   plisser
falegi                                                                                    écrouler, écrouler (s'~), effondrer (s'~)
falegiĝi                                                                                  effondrer (s'~)
falema                                                                                    branlant
faleti                                                                                    achopper
falfendo                                                                                  faille
fali                                                                                      abattre(s'~), tomber
faliganto                                                                                 abatteur
faligaĵo                                                                                  abattis
faligi                                                                                    abattre, désarçonner (équitation), faire tomber
faligo                                                                                    abattage (arbres)
falilo                                                                                    embéche
falkisto                                                                                  fauconnier
falko                                                                                     faucon
falkoĉaso                                                                                 chasse au faucon
falmartegelo                                                                              marteau pilon
falo                                                                                      chute, saut
falsa                                                                                     falsifié, FAUX, mensonger, supposé
falsado                                                                                   falsification
falsaĵo                                                                                   postiche
false                                                                                     faussement
falsema                                                                                   perfide
falsfamo                                                                                  mauvaise réputation
falsi                                                                                     altérer, contrefaire, défigurer, dénaturer, falsifier, fausser, travestir
falsisto                                                                                  contrefacteur, faussaire
falsita                                                                                   falsifié, falsifiée
falsitaĵo                                                                                 document falsifié
falstelo                                                                                  étoile filante
falsulo                                                                                   faussaire
falto                                                                                     pli (ride), ride
falva                                                                                     de couleur fauve, fauve (couleur)
falĉdraŝilo                                                                               moissonneuse-batteuse
